GeneID,Name
LOC115929631,solute carrier family 13 member 3-like
LOC115919867,solute carrier family 40 member 1-like
LOC584960,solute carrier organic anion transporter family member 4A1-like
LOC115929721,uncharacterized LOC115929721
LOC115918889,uncharacterized LOC115918889
LOC100892647,uncharacterized LOC100892647
LOC100892258,arginine-binding periplasmic protein
LOC755972,uncharacterized LOC755972
LOC105446227,uncharacterized LOC105446227
LOC115918356,solute carrier organic anion transporter family member 4A1-like
LOC115918841,solute carrier family 43 member 3-like
LOC115918779,solute carrier family 23 member 1-like
LOC115918354,"solute carrier family 2, facilitated glucose transporter member 8-like"
LOC115918021,solute carrier family 23 member 1-like
LOC115922207,"solute carrier family 52, riboflavin transporter, member 3-like"
LOC115918366,solute carrier family 66 member 2-like
LOC577862,solute carrier family 23 member 1-like
LOC115924584,"solute carrier family 2, facilitated glucose transporter member 1-like"
LOC115922299,solute carrier family 10 member 6-like
LOC115918729,solute carrier family 35 member E1-like
LOC115918553,solute carrier family 25 member 40-like
LOC115918406,solute carrier family 22 member 15-like
LOC105447613,solute carrier family 35 member E4
LOC105445390,solute carrier organic anion transporter family member 4A1
LOC105441640,solute carrier family 28 member 3
LOC105439091,solute carrier family 22 member 3
LOC100893328,solute carrier family 35 member G1
LOC100891197,solute carrier family 26 member 9
LOC100891092,solute carrier organic anion transporter family member 4A1
LOC100890644,solute carrier family 43 member 3
LOC100889286,solute carrier family 43 member 3
LOC100888137,solute carrier family 15 member 4
LOC763839,solute carrier family 28 member 3
LOC754307,solute carrier family 43 member 3
LOC590868,"solute carrier family 2, facilitated glucose transporter member 5"
LOC587329,solute carrier family 28 member 3
LOC584676,solute carrier family 25 member 35
LOC582078,solute carrier organic anion transporter family member 4A1
LOC115929881,solute carrier family 43 member 3-like
LOC115929876,solute carrier family 43 member 3-like
LOC115929630,solute carrier family 13 member 2-like
LOC115929568,solute carrier family 43 member 3-like
LOC115929282,solute carrier family 35 member G1-like
LOC115928352,solute carrier family 22 member 5-like
LOC115927977,solute carrier family 22 member 6-B-like
LOC115927921,solute carrier family 22 member 5-like
LOC115925503,solute carrier organic anion transporter family member 4A1-like
LOC115925055,solute carrier family 28 member 3-like
LOC115924760,solute carrier family 25 member 35-like
LOC115924705,solute carrier family 15 member 4-like
LOC115924638,solute carrier organic anion transporter family member 4A1-like
LOC115924585,"solute carrier family 2, facilitated glucose transporter member 1-like"
LOC115924574,solute carrier family 15 member 4-like
LOC115924572,solute carrier family 15 member 4-like
LOC115924567,solute carrier family 15 member 4-like
LOC115924553,solute carrier family 25 member 36-like
LOC115923350,solute carrier organic anion transporter family member 3A1-like
LOC115921232,solute carrier organic anion transporter family member 5A1-like
LOC115920706,solute carrier family 35 member G1-like
LOC115920052,solute carrier organic anion transporter family member 3A1-like
LOC115919817,solute carrier family 49 member 4-like
LOC115919798,solute carrier organic anion transporter family member 4A1-like
LOC115919328,solute carrier family 22 member 12-like
LOC115919220,solute carrier family 10 member 6-like
LOC105447130,solute carrier family 43 member 3-like
LOC105447013,solute carrier family 22 member 5-like
LOC105446654,solute carrier family 35 member G1-like
LOC105445091,solute carrier family 43 member 3-like
LOC105445059,solute carrier family 43 member 3-like
LOC105443275,solute carrier family 22 member 1-like
LOC105441531,solute carrier family 43 member 3-like
LOC105440907,solute carrier family 43 member 3-like
LOC105437238,solute carrier family 35 member G1-like
LOC105436472,"solute carrier family 2, facilitated glucose transporter member 1-like"
LOC100893547,solute carrier family 35 member G1-like
LOC100893479,solute carrier family 35 member G1-like
LOC100893409,solute carrier family 35 member G1-like
LOC100892064,solute carrier family 35 member G1-like
LOC100888630,"solute carrier family 2, facilitated glucose transporter member 3-like"
LOC764409,solute carrier family 35 member G1-like
LOC752367,solute carrier organic anion transporter family member 2A1-like
LOC592898,solute carrier family 35 member G1-like
LOC587449,solute carrier family 43 member 3-like
LOC584947,solute carrier family 43 member 3-like
LOC584726,solute carrier family 25 member 35-like
LOC581910,solute carrier family 25 member 35-like
LOC579279,solute carrier family 28 member 3-like
LOC578996,solute carrier family 43 member 3-like
LOC578073,solute carrier family 10 member 6-like
LOC575144,probable cationic amino acid transporter
LOC115930062,solute carrier family 35 member E3-like
LOC115921665,"solute carrier family 2, facilitated glucose transporter member 3-like"
LOC115919537,solute carrier family 35 member E3-like
LOC115925968,natural resistance-associated macrophage protein 2-like
NEWENTRY,Record to support submission of GeneRIFs for a gene not in Gene (purple sea urchin; purple urchin).
LOC105445726,sodium-dependent noradrenaline transporter-like
LOC105442992,sodium/glucose cotransporter 4
LOC752369,sodium/glucose cotransporter 4
LOC589235,sodium/glucose cotransporter 4
LOC587164,sodium/glucose cotransporter 4
LOC586385,sodium/glucose cotransporter 4
LOC586058,sodium-dependent serotonin transporter
LOC574785,transmembrane protein 184C
LOC115930059,sodium-dependent serotonin transporter-like
LOC115929926,sodium-dependent multivitamin transporter-like
LOC115929866,natural resistance-associated macrophage protein 2-like
LOC115928311,sodium/myo-inositol cotransporter 2-like
LOC115926893,sodium-dependent dopamine transporter-like
LOC115926076,sodium- and chloride-dependent GABA transporter 1-like
LOC115926075,sodium- and chloride-dependent GABA transporter 1-like
LOC115926074,sodium- and chloride-dependent taurine transporter-like
LOC115926051,sodium- and chloride-dependent taurine transporter-like
LOC115924308,vesicular inhibitory amino acid transporter-like
LOC115923718,transmembrane protein 184B-like
LOC115923337,vesicular inhibitory amino acid transporter-like
LOC115923240,uncharacterized LOC115923240
LOC115922798,transmembrane protein 184C-like
LOC115922492,sodium- and chloride-dependent creatine transporter 1-like
LOC115922491,sodium- and chloride-dependent betaine transporter-like
LOC115922361,sodium/glucose cotransporter 4-like
LOC115922219,sodium- and chloride-dependent taurine transporter-like
LOC115920539,sodium- and chloride-dependent GABA transporter 3-like
LOC115919833,sodium- and chloride-dependent GABA transporter 1-like
LOC115919132,sodium- and chloride-dependent GABA transporter ine-like
LOC105444808,amino acid transporter AVT1F-like
LOC105444561,lysine histidine transporter 1-like
LOC105438131,sodium- and chloride-dependent betaine transporter-like
LOC105436477,vesicular inhibitory amino acid transporter-like
LOC100891748,sodium-coupled monocarboxylate transporter 1-like
LOC100888182,sodium- and chloride-dependent GABA transporter 2-like
LOC756322,sodium- and chloride-dependent GABA transporter 2-like
LOC755450,vesicular inhibitory amino acid transporter-like
LOC593563,high-affinity choline transporter 1-like
LOC591101,sodium-dependent multivitamin transporter-like
LOC584864,sodium/myo-inositol cotransporter 2-like
LOC115918712,uncharacterized LOC115918712
LOC105436432,sodium-coupled monocarboxylate transporter 1
LOC588898,sodium-coupled monocarboxylate transporter 1
LOC583608,high affinity choline transporter 1
LOC115928214,protein OSCP1-like
LOC115927879,uncharacterized LOC115927879
LOC115924905,uncharacterized LOC115924905
LOC115923226,sodium-coupled monocarboxylate transporter 2-like
LOC115921357,sodium-coupled monocarboxylate transporter 1-like
LOC105442905,uncharacterized LOC105442905
LOC594417,sodium-coupled monocarboxylate transporter 2-like
LOC594342,sodium-coupled monocarboxylate transporter 1-like
LOC593138,high-affinity choline transporter 1-like
LOC577967,sodium-coupled monocarboxylate transporter 1-like
LOC576045,sodium/myo-inositol cotransporter 2-like
LOC589856,SLC33A1
LOC577249,SLC7A5
LOC590947,SLC17A5
LOC580383,SLC17A5
LOC580324,SLC17A5
LOC585959,SLC17A5
LOC594709,SLC17A5
LOC585062,SLC17A5
LOC578318,SLC17A5
LOC587737,SLC17A5
LOC578063,SLC25A17
LOC575511,SLC27A2
LOC579013,SLC27A2
LOC575206,SLC7A14
LOC592937,SLC27A1
LOC581039,SLC4A7
LOC588937,SLC25A4
LOC575225,SLC25A4
LOC584279,SLC25A28
LOC592280,SLC1A2
LOC576503,SLC1A3
LOC587119,SLC4A3
LOC588892,SLC4A3
LOC580912,SLC4A10
LOC579418,SLC4A11
LOC575259,SLC6A5
LOC594544,SLC6A5
LOC580659,SLC6A5
LOC754521,SLC7A1
LOC576809,SLC7A4
LOC100887921,SLC7A4
LOC753069,SLC7A4
LOC587693,SLC7A4
LOC584972,SLC7A4
LOC588590,SLC7A4
LOC579553,SLC7A9
LOC753230,SLC7A9
LOC577533,SLC7A9
LOC582215,SLC7A9
LOC581578,SLC7A11
LOC584098,SLC7A11
LOC588071,SLC7A11
LOC576202,SLC7A11
LOC581521,SLC7A11
LOC581357,SLC7A11
LOC575924,SLC7A11
LOC591586,SLC9A3
LOC594444,SLC9A6
LOC578765,SLC9A8
LOC100893236,SLC9B1
LOC594676,SLC9B1
LOC583801,SLC10A2
LOC579904,SLC10A2
LOC577941,SLC10A2
LOC591987,SLC10A2
LOC590463,SLC10A2
LOC594804,SLC10A2
LOC100890344,SLC10A2
LOC579660,SLC10A3
LOC575621,SLC10A3
LOC578429,SLC10A6
LOC589816,SLC10A6
LOC581539,SLC10A7
LOC105440120,SLC16A4
LOC105439474,SLC16A4
LOC105446668,SLC16A4
LOC753886,SLC16A4
LOC576185,SLC16A4
LOC584109,SLC16A6
LOC100892183,SLC16A6
LOC590453,SLC16A6
LOC100892211,SLC16A6
LOC105438928,SLC16A6
LOC105442213,SLC16A6
LOC100893557,SLC16A6
LOC105445250,SLC16A6
LOC100893623,SLC16A6
LOC763978,SLC16A6
LOC587497,SLC16A6
LOC588881,SLC16A6
LOC592182,SLC16A9
LOC583144,SLC16A9
LOC593504,SLC16A9
LOC593204,SLC16A9
LOC588000,SLC16A9
LOC576836,SLC16A10
LOC591508,SLC16A10
LOC579266,SLC16A12
LOC100892178,SLC16A12
LOC763326,SLC16A12
LOC105438700,SLC16A12
LOC755112,SLC16A12
LOC100890112,SLC16A12
